type,pts,pos,tm,opp,id,q,init
2f1,0,2,IND,CLE,20111230CLEIND,q3,0
2f1,2,2,DET,BOS,20111230DETBOS,q1,1
2f1,0,1,BOS,DET,20111230DETBOS,q1,0
1f1,2,2,DET,BOS,20111230DETBOS,q2,1
1f1,2,1,BOS,DET,20111230DETBOS,q2,0
2f1,5,2,DET,BOS,20111230DETBOS,q3,1
2f1,2,2,BOS,DET,20111230DETBOS,q3,0
2f1,4,2,MEM,HOU,20111230HOUMEM,q1,1
2f1,2,2,HOU,MEM,20111230HOUMEM,q1,0
1f1,2,2,MEM,HOU,20111230HOUMEM,q2,1
1f1,2,1,HOU,MEM,20111230HOUMEM,q2,0
1f1,0,2,HOU,MEM,20111230HOUMEM,q3,1
1f1,2,1,MEM,HOU,20111230HOUMEM,q3,0
1f1,2,1,MIN,MIA,20111230MIAMIN,q1,1
1f1,2,1,MIA,MIN,20111230MIAMIN,q1,0
1f1,0,2,MIN,MIA,20111230MIAMIN,q2,1
1f1,0,1,MIA,MIN,20111230MIAMIN,q2,0
1f1,2,1,MIA,MIN,20111230MIAMIN,q3,1
1f1,0,1,MIN,MIA,20111230MIAMIN,q3,0
2f1,0,2,ATL,NJN,20111230NJNATL,q1,1
2f1,0,1,NJN,ATL,20111230NJNATL,q1,0
2f1,2,2,NJN,ATL,20111230NJNATL,q2,1
2f1,3,2,ATL,NJN,20111230NJNATL,q2,0
2f1,2,2,ATL,NJN,20111230NJNATL,q3,1
2f1,4,2,NJN,ATL,20111230NJNATL,q3,0
2f1,3,2,ORL,CHA,20111230ORLCHA,q1,1
2f1,2,1,CHA,ORL,20111230ORLCHA,q1,0
2f1,0,2,ORL,CHA,20111230ORLCHA,q2,1
2f1,3,2,CHA,ORL,20111230ORLCHA,q2,0
2f1,0,1,ORL,CHA,20111230ORLCHA,q3,1
2f1,0,1,CHA,ORL,20111230ORLCHA,q3,0
2f1,2,2,UTA,PHI,20111230PHIUTA,q1,1
2f1,2,2,PHI,UTA,20111230PHIUTA,q1,0
2f1,0,2,PHI,UTA,20111230PHIUTA,q2,1
2f1,3,1,UTA,PHI,20111230PHIUTA,q2,0
1f1,0,2,UTA,PHI,20111230PHIUTA,q3,1
1f1,0,1,PHI,UTA,20111230PHIUTA,q3,0
1f1,2,2,NOH,PHX,20111230PHXNOH,q1,1
1f1,0,1,PHX,NOH,20111230PHXNOH,q1,0
1f1,2,2,PHX,NOH,20111230PHXNOH,q2,1
1f1,2,1,NOH,PHX,20111230PHXNOH,q2,0
2f1,0,2,PHX,NOH,20111230PHXNOH,q3,1
2f1,2,2,NOH,PHX,20111230PHXNOH,q3,0
1f1,2,2,TOR,DAL,20111230TORDAL,q1,1
1f1,2,2,DAL,TOR,20111230TORDAL,q1,0
2f1,2,2,DAL,TOR,20111230TORDAL,q2,1
2f1,2,1,TOR,DAL,20111230TORDAL,q2,0
2f1,4,2,DAL,TOR,20111230TORDAL,q3,1
2f1,2,2,TOR,DAL,20111230TORDAL,q3,0
2f1,0,2,MIL,WAS,20111230WASMIL,q1,1
2f1,2,2,WAS,MIL,20111230WASMIL,q1,0
1f1,0,2,WAS,MIL,20111230WASMIL,q2,1
1f1,0,1,MIL,WAS,20111230WASMIL,q2,0
2f1,2,2,MIL,WAS,20111230WASMIL,q3,1
2f1,5,2,WAS,MIL,20111230WASMIL,q3,0
2f1,3,1,ATL,HOU,20111231ATLHOU,q1,1
2f1,0,1,HOU,ATL,20111231ATLHOU,q1,0
2f1,2,2,HOU,ATL,20111231ATLHOU,q2,1
2f1,0,1,ATL,HOU,20111231ATLHOU,q2,0
1f1,2,2,ATL,HOU,20111231ATLHOU,q3,1
1f1,0,1,HOU,ATL,20111231ATLHOU,q3,0
2f1,2,2,DEN,LAL,20111231DENLAL,q1,1
2f1,0,1,LAL,DEN,20111231DENLAL,q1,0
1f1,2,2,DEN,LAL,20111231DENLAL,q2,1
1f1,0,2,LAL,DEN,20111231DENLAL,q2,0
1f1,2,2,LAL,DEN,20111231DENLAL,q3,1
1f1,0,1,DEN,LAL,20111231DENLAL,q3,0
2f1,4,2,DET,IND,20111231INDDET,q1,1
2f1,0,2,IND,DET,20111231INDDET,q1,0
1f1,3,2,IND,DET,20111231INDDET,q2,1
1f1,0,1,DET,IND,20111231INDDET,q2,0
2f1,0,2,IND,DET,20111231INDDET,q3,1
2f1,2,1,DET,IND,20111231INDDET,q3,0
2f1,3,2,SAC,NYK,20111231NYKSAC,q1,1
2f1,1,1,NYK,SAC,20111231NYKSAC,q1,0
2f1,2,3,SAC,NYK,20111231NYKSAC,q2,1
2f1,3,2,NYK,SAC,20111231NYKSAC,q2,0
2f1,0,2,SAC,NYK,20111231NYKSAC,q3,1
2f1,0,1,NYK,SAC,20111231NYKSAC,q3,0
1f1,3,2,PHI,GSW,20111231PHIGSW,q1,1
1f1,3,1,GSW,PHI,20111231PHIGSW,q1,0
2f1,3,1,PHI,GSW,20111231PHIGSW,q2,1
2f1,0,1,GSW,PHI,20111231PHIGSW,q2,0
2f1,0,1,PHI,GSW,20111231PHIGSW,q3,1
2f1,0,1,GSW,PHI,20111231PHIGSW,q3,0
2f1,0,2,PHX,OKC,20111231PHXOKC,q1,1
2f1,2,2,OKC,PHX,20111231PHXOKC,q1,0
2f1,0,2,PHX,OKC,20111231PHXOKC,q2,1
2f1,0,1,OKC,PHX,20111231PHXOKC,q2,0
2f1,5,2,OKC,PHX,20111231PHXOKC,q3,1
2f1,2,1,PHX,OKC,20111231PHXOKC,q3,0
1f1,2,2,SAS,UTA,20111231UTASAS,q1,1
1f1,2,1,UTA,SAS,20111231UTASAS,q1,0
1f1,0,1,UTA,SAS,20111231UTASAS,q2,1
1f1,0,1,SAS,UTA,20111231UTASAS,q2,0
2f1,3,2,SAS,UTA,20111231UTASAS,q3,1
2f1,2,1,UTA,SAS,20111231UTASAS,q3,0
2f1,2,2,WAS,BOS,20120101BOSWAS,q1,1
2f1,2,1,BOS,WAS,20120101BOSWAS,q1,0
2f1,2,2,BOS,WAS,20120101BOSWAS,q2,1
2f1,2,2,WAS,BOS,20120101BOSWAS,q2,0
2f1,0,2,WAS,BOS,20120101BOSWAS,q3,1
2f1,1,2,BOS,WAS,20120101BOSWAS,q3,0
2f1,0,2,CHA,MIA,20120101CHAMIA,q1,1
2f1,2,2,MIA,CHA,20120101CHAMIA,q1,0
1f1,0,1,CHA,MIA,20120101CHAMIA,q2,1
1f1,2,1,MIA,CHA,20120101CHAMIA,q2,0
2f1,4,2,MIA,CHA,20120101CHAMIA,q3,1
2f1,5,2,CHA,MIA,20120101CHAMIA,q3,0
1f1,2,2,MIN,DAL,20120101DALMIN,q1,1
1f1,2,1,DAL,MIN,20120101DALMIN,q1,0
2f1,0,2,DAL,MIN,20120101DALMIN,q2,1
2f1,2,1,MIN,DAL,20120101DALMIN,q2,0
2f1,3,2,DAL,MIN,20120101DALMIN,q3,1
2f1,2,1,MIN,DAL,20120101DALMIN,q3,0
1f1,0,1,LAL,DEN,20120101LALDEN,q1,1
1f1,0,1,DEN,LAL,20120101LALDEN,q1,0
1f1,0,2,LAL,DEN,20120101LALDEN,q2,1
1f1,0,1,DEN,LAL,20120101LALDEN,q2,0
1f1,3,2,LAL,DEN,20120101LALDEN,q3,1
1f1,4,2,DEN,LAL,20120101LALDEN,q3,0
2f1,1,2,CHI,MEM,20120101MEMCHI,q1,1
2f1,0,1,MEM,CHI,20120101MEMCHI,q1,0
1f1,0,1,MEM,CHI,20120101MEMCHI,q2,1
1f1,2,1,CHI,MEM,20120101MEMCHI,q2,0
1f1,2,2,CHI,MEM,20120101MEMCHI,q3,1
1f1,0,2,MEM,CHI,20120101MEMCHI,q3,0
2f1,5,2,NJN,CLE,20120101NJNCLE,q1,1
2f1,3,1,CLE,NJN,20120101NJNCLE,q1,0
1f1,0,1,CLE,NJN,20120101NJNCLE,q2,1
1f1,0,1,NJN,CLE,20120101NJNCLE,q2,0
2f1,2,2,NJN,CLE,20120101NJNCLE,q3,1
2f1,2,2,CLE,NJN,20120101NJNCLE,q3,0
1f1,2,1,NOH,SAC,20120101NOHSAC,q1,1
1f1,2,1,SAC,NOH,20120101NOHSAC,q1,0
1f1,0,1,SAC,NOH,20120101NOHSAC,q2,1
1f1,0,1,NOH,SAC,20120101NOHSAC,q2,0
1f1,0,2,NOH,SAC,20120101NOHSAC,q3,1
1f1,2,1,SAC,NOH,20120101NOHSAC,q3,0
